PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,ABSTRACT SCREEN,INCLUDE? ,SAMPLE SIZE,COUNTRY,TIME POINTS,TIME PERIOD,
37101123,Social contact patterns during the COVID-19 pandemic in 21 European countries - evidence from a two-year study,,,Wong KLM,BMC Infect Dis,2023,,,,,YES,YES,4425,Switzerland,,,
37101123,Social contact patterns during the COVID-19 pandemic in 21 European countries - evidence from a two-year study,,,Wong KLM,BMC Infect Dis,2023,,,,,YES,YES,4423,Belgium,,,
37101123,Social contact patterns during the COVID-19 pandemic in 21 European countries - evidence from a two-year study,,,Wong KLM,BMC Infect Dis,2023,,,,,YES,YES,3643,Netherlands,,,
35285285,Estimating data-driven coronavirus disease 2019 mitigation strategies for safe university reopening,"Yang Q, Gruenbacher DM, Scoglio CM.",J R Soc Interface. 2022 Mar;19(188):20210920. doi: 10.1098/rsif.2021.0920. Epub 2022 Mar 14.,Yang Q,J R Soc Interface,2022,3/14/22,PMC8919707,,10.1098/rsif.2021.0920,MAYBE,YES,3581,US,,,
26646292,Age- and Sex-Specific Social Contact Patterns and Incidence of Mycobacterium tuberculosis Infection,"Dodd PJ, Looker C, Plumb ID, Bond V, Schaap A, Shanaube K, Muyoyeta M, Vynnycky E, Godfrey-Faussett P, Corbett EL, Beyers N, Ayles H, White RG.",Am J Epidemiol. 2016 Jan 15;183(2):156-66. doi: 10.1093/aje/kwv160. Epub 2015 Dec 8.,Dodd PJ,Am J Epidemiol,2016,12/10/2015,PMC4706676,,10.1093/aje/kwv160,YES,YES,3528,South Africa,,,
37101123,Social contact patterns during the COVID-19 pandemic in 21 European countries - evidence from a two-year study,,,Wong KLM,BMC Infect Dis,2023,,,,,YES,YES,2622,Finland,,,
37101123,Social contact patterns during the COVID-19 pandemic in 21 European countries - evidence from a two-year study,,,Wong KLM,BMC Infect Dis,2023,,,,,YES,YES,2593,LT,,,
34749676,Quantifying contact patterns in response to COVID-19 public health measures in Canada,,,Brankston G,BMC Public Health,2021,,,,,MAYBE,YES,2495,,,,
34749676,Quantifying contact patterns in response to COVID-19 public health measures in Canada,,,Brankston G,BMC Public Health,2021,,,,,MAYBE,YES,2493,,,,
34749676,Quantifying contact patterns in response to COVID-19 public health measures in Canada,,,Brankston G,BMC Public Health,2021,,,,,MAYBE,YES,2491,,,,
28099479,Social Contact Structures and Time Use Patterns in the Manicaland Province of Zimbabwe,"Melegaro A, Del Fava E, Poletti P, Merler S, Nyamukapa C, Williams J, Gregson S, Manfredi P.",PLoS One. 2017 Jan 18;12(1):e0170459. doi: 10.1371/journal.pone.0170459. eCollection 2017.,Melegaro A,PLoS One,2017,1/19/17,PMC5242544,,10.1371/journal.pone.0170459,YES,YES,2490,Zimbabwe,,,
30890153,Quantifying heterogeneous contact patterns in Japan: a social contact survey,"Munasinghe L, Asai Y, Nishiura H.",Theor Biol Med Model. 2019 Mar 20;16(1):6. doi: 10.1186/s12976-019-0102-8.,Munasinghe L,Theor Biol Med Model,2019,3/21/19,PMC6425701,,10.1186/s12976-019-0102-8,YES,YES,2271,Japan,1,28 Oct - 1 Dec 2014,INTERNET
37101123,Social contact patterns during the COVID-19 pandemic in 21 European countries - evidence from a two-year study,,,Wong KLM,BMC Infect Dis,2023,,,,,YES,YES,2240,Green,,,
37101123,Social contact patterns during the COVID-19 pandemic in 21 European countries - evidence from a two-year study,,,Wong KLM,BMC Infect Dis,2023,,,,,YES,YES,2078,Hungary,,,
26176549,The French Connection: The First Large Population-Based Contact Survey in France Relevant for the Spread of Infectious Diseases,"Béraud G, Kazmercziak S, Beutels P, Levy-Bruhl D, Lenne X, Mielcarek N, Yazdanpanah Y, Boëlle PY, Hens N, Dervaux B.",PLoS One. 2015 Jul 15;10(7):e0133203. doi: 10.1371/journal.pone.0133203. eCollection 2015.,Béraud G,PLoS One,2015,7/16/15,PMC4503306,,10.1371/journal.pone.0133203,YES,YES,2033,FRANCE,,,
37015945,Social contact patterns relevant for infectious disease transmission in Cambodia,"Leung WTM, Meeyai A, Holt HR, Khieu B, Chhay T, Seng S, Pok S, Chiv P, Drake T, Rudge JW.",Sci Rep. 2023 Apr 4;13(1):5542. doi: 10.1038/s41598-023-31485-z.,Leung WTM,Sci Rep,2023,04/04/2023,PMC10072808,,10.1038/s41598-023-31485-z,YES,YES,2016,Cambodia,,,
37101123,Social contact patterns during the COVID-19 pandemic in 21 European countries - evidence from a two-year study,,,Wong KLM,BMC Infect Dis,2023,,,,,YES,YES,1998,SI,,,
37101123,Social contact patterns during the COVID-19 pandemic in 21 European countries - evidence from a two-year study,,,Wong KLM,BMC Infect Dis,2023,,,,,YES,YES,1971,Croatia,,,
